player,year,1st_in,1st_won,2nd_won,bp_saved,v1st_won,v2nd_won,bp_cnvt,hld_rate,brk_rate
Nadejda Guskova,2010,65.12,32.14,20.0,12.5,32.14,63.16,42.86,,
Nadia Lalami,2010,56.34,52.5,51.61,66.67,33.33,32.0,50.0,,
Nadia Petrova,2010,57.06,71.54,48.24,63.12,35.23,56.4,51.94,,
Naomi Broady,2010,56.52,74.36,33.33,50.0,17.5,60.0,28.57,,
Natalie Grandin,2010,76.92,55.0,50.0,42.86,27.27,36.84,100.0,,
Nicole Vaidisova,2010,65.16,77.43,35.39,55.0,30.21,53.23,45.84,,
Nigina Abduraimova,2010,58.0,63.79,45.24,58.33,28.81,46.88,50.0,,
Nikola Hofmanova,2010,69.57,46.88,28.57,33.33,30.43,48.72,28.57,,
Nina Bratchikova,2010,66.89,55.76,38.18,51.28,35.53,52.64,40.34,,
Noppawan Lertcheewakarn,2010,68.26,59.83,50.1,42.5,33.4,50.13,40.94,,
Nudnida Luangnam,2010,68.69,57.35,35.48,33.33,21.43,56.0,44.44,,
Nuria Llagostera Vives,2010,54.08,62.11,42.32,53.78,30.74,50.42,43.57,,
Olga Govortsova,2010,58.71,60.77,40.47,49.12,35.55,56.12,47.26,,
Olga Savchuk,2010,62.45,61.25,44.96,37.25,36.97,55.88,40.3,,
Olivia Rogowska,2010,67.8,53.1,37.06,45.0,37.28,49.28,28.57,,
Olivia Sanchez,2010,57.18,64.72,53.12,58.34,35.25,61.0,65.0,,
Patty Schnyder,2010,63.91,60.22,47.91,54.64,36.55,53.21,44.67,,
Pauline Parmentier,2010,56.92,63.67,42.06,49.88,33.34,50.43,45.92,,
Pemra Ozgen,2010,55.56,48.57,42.86,58.33,23.33,41.67,0.0,,
Petra Cetkovska,2010,60.16,56.73,37.92,45.84,39.16,56.52,52.38,,
Petra Kvitova,2010,62.71,63.99,44.76,51.06,36.36,52.69,49.15,,
Petra Martic,2010,62.86,60.84,45.83,55.49,30.64,47.89,34.34,,
Polona Hercog,2010,61.96,64.19,48.61,51.73,36.67,53.06,48.14,,
Raluca Olaru,2010,56.92,60.3,42.6,50.59,34.25,49.58,33.81,,
Rebecca Marino,2010,57.07,77.22,48.39,78.1,31.18,46.16,26.67,,
Regina Kulikova,2010,65.03,61.19,51.37,63.55,38.21,56.95,49.36,,
Renata Voracova,2010,67.54,57.19,38.83,43.85,34.36,54.65,53.39,,
Roberta Vinci,2010,59.06,60.52,49.19,52.35,34.65,52.99,44.78,,
Romina Oprandi,2010,62.26,59.31,43.64,47.16,34.43,55.59,43.79,,
Rossana De Los Rios,2010,73.17,54.71,37.07,50.69,35.32,53.2,44.49,,
Ryoko Fuda,2010,68.24,68.65,45.06,56.82,35.0,45.0,32.5,,
Sabina Sharipova,2010,49.09,51.85,39.29,14.29,28.0,52.0,100.0,,
Sabine Lisicki,2010,52.13,66.38,47.9,52.08,35.87,57.7,41.14,,
Sacha Jones,2010,67.42,46.67,44.83,46.67,36.92,66.67,45.45,,
Sachie Ishizu,2010,57.45,66.67,25.0,63.64,19.35,41.67,0.0,,0.0
Sally Peers,2010,65.25,62.47,29.79,64.39,47.31,61.48,51.82,,
Samantha Stosur,2010,60.03,70.74,51.47,54.87,37.04,52.13,49.37,,
Sandra Zahlavova,2010,65.13,58.34,42.66,53.09,35.29,53.89,49.52,,
Sania Mirza,2010,56.1,60.68,43.92,41.28,36.37,58.19,42.36,,
Sara Errani,2010,75.41,56.23,44.03,55.48,40.74,59.89,50.33,,
Selima Sfar,2010,55.08,58.22,38.04,47.72,25.28,65.62,83.34,,
Serena Williams,2010,62.29,77.41,47.47,61.42,39.06,59.25,51.51,,
Sesil Karatantcheva,2010,67.82,57.75,43.08,52.46,38.09,54.72,44.74,,
Shahar Peer,2010,64.44,64.74,46.93,53.76,38.83,56.86,48.6,,
Sharon Fichman,2010,79.97,57.82,49.27,38.41,42.62,59.16,53.61,,
Shelby Rogers,2010,49.19,68.85,41.27,60.0,20.97,54.17,60.0,,
Shenay Perry,2010,54.22,63.0,40.4,52.4,25.45,48.45,44.67,,
Sheng Nan Sun,2010,60.38,51.84,40.64,28.57,25.76,66.34,23.34,,
Shuai Peng,2010,70.1,61.27,50.63,43.0,37.88,54.49,41.93,,
Shuai Zhang,2010,72.15,51.81,30.98,48.72,32.62,52.05,46.67,,
Silvia Njiric,2010,61.82,55.88,28.57,68.75,31.25,38.46,20.0,,
Silvia Soler Espinosa,2010,66.79,46.4,27.37,30.56,32.29,49.97,65.24,,
Simona Halep,2010,61.78,57.84,51.12,51.98,38.3,57.39,57.49,,
Sloane Stephens,2010,64.14,58.67,39.18,42.22,36.02,52.8,62.22,,
So Jung Kim,2010,64.66,56.55,42.14,13.89,31.32,52.42,32.5,,
Sofia Arvidsson,2010,67.31,60.92,41.69,46.66,36.16,56.59,42.01,,
Sophie Ferguson,2010,73.04,54.43,37.77,37.19,37.23,47.89,41.22,,
Sorana Cirstea,2010,55.33,61.2,39.51,47.47,34.84,53.53,47.31,,
Stefanie Voegele,2010,56.05,60.58,44.04,42.89,34.55,54.22,43.61,,
Stephanie Cohen Aloro,2010,59.45,60.75,35.05,44.0,20.26,51.99,56.25,,
Stephanie Dubois,2010,70.38,56.44,42.1,52.96,31.48,51.26,56.43,,
Stephanie Foretz Gacon,2010,59.53,52.14,24.26,28.58,21.42,45.92,7.14,,
Su Wei Hsieh,2010,60.94,63.32,38.72,52.2,37.33,51.74,46.25,,
Suchanun Viratprasert,2010,58.62,38.24,41.67,53.33,37.14,50.0,66.67,,
Svetlana Kuznetsova,2010,60.84,69.88,44.59,52.58,39.33,53.82,42.72,,
Sybille Bammer,2010,68.91,58.07,42.54,47.53,36.55,55.35,51.07,,
Tamarine Tanasugarn,2010,68.08,58.72,51.51,54.96,39.24,60.58,53.67,,
Tamira Paszek,2010,60.76,64.18,47.09,45.22,40.84,54.93,50.7,,
Tathiana Garbin,2010,62.91,56.21,42.06,50.0,34.49,47.52,38.2,,
Tatiana Poutchek,2010,57.45,48.15,25.0,33.33,38.1,60.0,40.0,,
Timea Babos,2010,57.14,61.11,37.04,50.0,23.53,47.83,16.67,,
Timea Bacsinszky,2010,58.75,61.07,45.5,57.99,37.8,56.57,53.27,,
Tomoko Yonemura,2010,54.24,40.62,40.74,33.33,34.88,60.0,37.5,,
Tsvetana Pironkova,2010,54.72,64.96,47.71,51.24,39.09,51.28,45.03,,
Urszula Radwanska,2010,63.03,52.19,49.31,55.56,32.55,51.31,33.33,,
Valerie Tetreault,2010,63.06,58.68,42.52,62.73,30.7,47.63,29.17,,
Vania King,2010,65.88,61.54,41.87,47.73,36.0,57.91,41.05,,
Varatchaya Wongteanchai,2010,63.75,47.06,51.72,30.0,27.78,60.0,31.25,,
Varvara Lepchenko,2010,63.95,59.87,45.68,40.97,35.89,51.74,44.44,,
Venus Williams,2010,56.74,73.54,46.91,52.5,40.26,58.74,47.89,,
Vera Dushevina,2010,57.64,64.21,46.65,44.88,40.02,52.31,52.16,,
Vera Zvonareva,2010,65.07,67.01,48.48,54.05,41.75,57.79,48.63,,
Victoria Azarenka,2010,70.56,65.49,44.85,51.15,42.13,61.94,56.32,,
Viktoria Kutuzova,2010,74.39,52.94,38.01,52.72,38.46,47.06,46.66,,
Virginia Ruano Pascual,2010,72.38,48.36,22.62,44.94,35.76,26.44,66.66,,
Virginie Razzano,2010,64.56,59.74,41.34,49.3,37.77,52.28,54.27,,
Vitalia Diatchenko,2010,57.41,58.06,39.13,42.86,28.12,31.58,0.0,,
Xinyun Han,2010,61.86,56.8,38.3,36.49,30.8,60.3,31.34,,
Yanina Wickmayer,2010,65.16,65.78,49.96,55.91,37.88,53.04,47.04,,
Yaroslava Shvedova,2010,60.07,62.03,43.47,48.06,37.92,54.55,39.17,,
Yi Fan Xu,2010,47.06,50.0,18.52,30.0,37.04,61.9,75.0,,
Yi Miao Zhou,2010,65.88,41.42,32.96,32.14,29.42,44.44,15.56,,
Yulia Putintseva,2010,54.55,50.0,35.0,37.5,31.43,50.0,50.0,,
Yuliana Fedak,2010,50.62,54.16,34.7,61.92,31.68,52.68,50.0,,
Yung Jan Chan,2010,68.14,61.81,33.67,50.13,32.35,53.66,42.32,,
Yurika Sema,2010,75.0,64.1,30.77,40.0,20.0,27.78,0.0,,0.0
Yvonne Meusburger,2010,74.81,56.81,40.75,49.2,39.7,52.86,47.56,,
Zarina Diyas,2010,57.86,62.62,42.32,41.22,38.38,47.04,52.26,,
Zi Yan,2010,62.67,53.22,38.53,39.29,36.7,43.3,33.57,,
Zuzana Kucova,2010,61.75,52.45,36.6,42.8,29.23,48.71,24.68,,
Zuzana Ondraskova,2010,76.84,55.94,38.45,45.6,46.26,62.89,61.58,,
Abigail Spears,2011,64.59,64.93,25.0,45.83,41.66,52.43,27.28,,
Agnes Szavay,2011,66.07,61.22,41.99,42.41,38.77,54.9,44.7,,
Agnieszka Radwanska,2011,67.02,64.49,51.54,55.63,41.87,60.81,54.38,,
Ahsha Rolle,2011,58.82,73.33,42.86,57.14,22.86,44.44,33.33,,
Ajla Tomljanovic,2011,56.9,62.26,39.79,53.47,39.13,60.32,54.86,,
Akgul Amanmuradova,2011,66.56,59.13,44.41,39.89,29.83,46.89,39.89,,
Alberta Brianti,2011,59.65,58.45,43.28,51.63,39.29,51.23,43.15,,
Aleksandra Krunic,2011,64.42,78.74,70.14,25.0,48.36,61.11,58.34,,
Aleksandra Wozniak,2011,66.21,65.88,46.52,59.14,38.61,52.69,38.85,,
Alexa Glatch,2011,58.77,60.38,49.87,53.3,29.63,49.95,54.82,,
Alexandra Cadantu Ignatik,2011,65.85,61.17,51.52,70.0,37.64,56.25,57.5,,
Alexandra Dulgheru,2011,66.11,58.18,35.71,49.84,36.69,51.78,42.7,,
Alexandra Mueller,2011,47.83,63.64,37.5,33.33,10.53,23.81,0.0,,
Alexandra Panova,2011,56.13,62.49,45.64,43.75,26.49,52.8,21.54,,
Alexandra Stevenson,2011,48.29,53.48,43.33,51.45,42.23,52.45,51.39,,
Alicia Molik,2011,58.73,56.06,45.43,40.6,33.88,37.83,32.29,,
Alisa Kleybanova,2011,55.8,66.24,45.48,53.59,40.6,55.86,53.97,,
Alison Riske Amritraj,2011,66.34,58.61,44.6,48.96,28.57,47.44,35.76,,
Alison Van Uytvanck,2011,61.76,66.49,34.72,49.27,37.87,51.42,52.38,,
Alize Cornet,2011,58.95,59.28,40.65,51.49,39.64,53.91,53.06,,
Alize Lim,2011,67.44,48.28,25.0,43.75,35.42,65.85,60.0,,
Alla Kudryavtseva,2011,56.06,60.1,40.97,48.41,34.73,51.72,46.86,,
Alona Bondarenko,2011,70.61,55.64,43.72,47.74,30.66,47.96,39.62,,
An Sophie Mestach,2011,70.59,66.67,36.0,77.78,29.79,39.13,20.0,,
Ana Ivanovic,2011,54.64,71.86,48.08,54.12,41.95,58.35,49.46,,
Ana Vrljic,2011,52.46,46.88,37.93,54.55,20.69,42.86,0.0,,
Anabel Medina Garrigues,2011,66.74,62.28,49.88,44.95,42.49,60.45,54.28,,
Anastasia Grymalska,2011,66.67,60.53,15.79,40.0,32.0,41.18,100.0,,
Anastasia Pavlyuchenkova,2011,60.06,67.01,46.12,49.95,39.75,57.18,53.54,,
Anastasia Pivovarova,2011,67.33,54.81,31.64,45.11,36.8,56.28,56.65,,
Anastasia Rodionova,2011,63.74,54.51,41.36,43.65,33.57,52.07,44.64,,
Anastasia Yakimova,2011,61.48,54.64,39.54,43.7,35.72,53.77,46.73,,
Anastasija Sevastova,2011,60.16,61.23,43.37,43.79,35.92,53.0,50.57,,
Andrea Hlavackova,2011,59.69,63.64,46.2,54.0,35.63,55.15,51.53,,
Andrea Petkovic,2011,70.23,62.61,49.92,54.59,40.76,59.45,50.69,,
Angelique Kerber,2011,62.08,62.65,44.6,54.14,41.79,56.26,51.45,,
Ani Mijacika,2011,58.06,61.11,46.15,37.5,37.21,60.0,66.67,,
Anna Brazhnikova,2011,61.4,42.86,27.27,36.36,35.48,55.56,60.0,,
Anna Chakvetadze,2011,58.9,60.73,41.52,50.71,39.03,57.2,47.54,,
Anna Floris,2011,62.96,58.82,15.0,25.0,42.22,43.48,37.5,,
Anna Giulia Remondina,2011,64.62,61.9,39.13,16.67,24.39,60.87,50.0,,
Anna Lena Groenefeld,2011,52.56,62.6,38.34,55.84,19.44,43.14,12.5,,
Anna Tatishvili,2011,71.32,54.63,40.0,36.69,36.04,56.95,46.55,,
Anne Keothavong,2011,58.76,61.83,48.05,55.33,37.91,55.06,52.15,,
Anne Kremer,2011,66.01,52.01,38.19,34.7,33.08,44.75,51.11,,
Arantxa Parra Santonja,2011,45.81,66.08,41.78,52.98,33.54,54.87,46.59,,
Arantxa Rus,2011,65.75,55.19,39.84,49.31,37.05,53.02,48.48,,
Aravane Rezai,2011,54.95,64.31,43.71,46.45,33.75,50.64,43.29,,
Arina Rodionova,2011,73.57,66.84,49.21,58.18,31.02,56.41,40.62,,
Ashley Weinhold,2011,64.66,39.94,30.09,38.18,36.4,64.01,61.25,,
Ayumi Morita,2011,67.64,57.32,46.29,49.53,36.0,53.59,47.67,,
Barbara Luz,2011,45.45,40.0,16.67,14.29,21.74,50.0,100.0,,
Barbora Strycova,2011,65.56,58.1,45.37,49.84,38.12,53.44,53.49,,
Beatrice Capra,2011,56.36,45.16,29.17,40.0,23.33,53.85,12.5,,
Beatriz Garcia Vidagany,2011,67.08,60.55,32.04,58.89,30.94,56.12,32.62,,
Bethanie Mattek Sands,2011,58.87,62.73,47.37,46.83,39.98,58.05,47.88,,
Bianca Botto,2011,69.23,44.44,25.0,50.0,53.33,55.56,40.0,,
Bojana Jovanovski,2011,65.56,58.78,42.28,45.65,35.56,54.72,41.62,,
Camila Giorgi,2011,53.33,66.67,28.57,33.33,14.71,53.33,0.0,,
Carla Suarez Navarro,2011,66.71,58.34,43.61,46.92,39.88,54.46,49.82,,
Caroline Garcia,2011,56.14,65.41,41.86,58.96,33.51,52.35,46.98,,
Caroline Wozniacki,2011,70.63,65.58,51.39,54.16,44.07,60.75,52.96,,
Casey Dellacqua,2011,64.22,60.4,45.86,63.17,36.85,55.81,81.94,,
Catalina Castano,2011,60.59,60.73,34.87,51.94,46.6,48.76,55.93,,
Catherine Harrison,2011,51.11,65.22,27.27,37.5,25.0,42.86,100.0,,
Chanelle Scheepers,2011,64.07,59.29,42.26,50.06,38.97,56.06,45.19,,
Christina Mchale,2011,60.75,63.78,46.41,52.36,37.22,52.92,41.9,,
Coco Vandeweghe,2011,52.26,64.73,44.84,47.11,31.1,51.66,39.23,,
Conny Perrin,2011,55.26,59.52,41.18,66.67,37.5,48.65,25.0,,
Corinna Dentoni,2011,64.94,55.86,47.05,53.0,26.64,52.76,46.85,,
Daniela Hantuchova,2011,62.8,65.9,49.68,58.95,39.38,54.08,47.62,,
Darya Kustova,2011,65.91,37.93,26.67,33.33,28.57,57.14,20.0,,
Dia Evtimova,2011,73.17,62.0,50.72,29.16,49.82,72.5,58.34,,
Dinara Safina,2011,60.56,63.35,43.08,48.59,39.99,58.53,51.71,,
Dominika Cibulkova,2011,56.11,64.89,46.5,53.55,39.99,60.49,53.94,,
Edina Gallovits Hall,2011,61.72,57.72,45.03,48.87,29.69,53.65,41.38,,
Eirini Georgatou,2011,63.06,33.61,51.92,47.22,30.56,54.46,30.95,,
Ekaterina Bychkova,2011,29.41,80.0,38.89,33.33,31.43,26.67,0.0,,
Elena Baltacha,2011,58.38,65.19,45.94,47.36,35.83,53.48,42.28,,
Elena Bovina,2011,68.63,51.77,33.21,42.63,37.8,56.27,46.57,,
Elena Vesnina,2011,63.45,60.4,44.36,46.77,38.08,56.71,48.12,,
Eleni Daniilidou,2011,64.07,59.15,41.18,46.47,36.52,54.8,45.12,,
Emily Webley Smith,2011,42.11,66.67,48.48,50.0,17.39,41.94,50.0,,
Erika Sema,2011,84.02,49.96,43.06,19.84,21.21,52.24,16.67,,
Estrella Cabeza Candela,2011,63.39,60.89,38.98,61.6,42.23,55.35,47.95,,
Eugenie Bouchard,2011,64.08,64.44,38.14,59.87,29.08,41.38,42.5,,
Eva Birnerova,2011,70.73,56.03,40.78,43.77,42.94,58.63,50.39,,
Evgeniya Rodina,2011,58.11,59.99,43.71,46.02,33.98,52.67,47.07,,
Fatima El Allami,2011,49.38,60.0,51.22,76.92,31.15,58.33,40.0,,
Fatma Al Nabhani,2011,60.87,57.14,38.89,28.57,24.24,50.0,50.0,,
Flavia Pennetta,2011,55.4,66.54,47.23,52.96,38.39,57.79,53.75,,
Florencia Molinero,2011,75.86,50.0,42.86,55.56,12.5,35.0,0.0,,
Francesca Schiavone,2011,54.24,68.44,46.33,48.69,38.1,52.49,44.69,,
Gail Brodsky,2011,64.15,50.0,36.84,16.67,33.33,42.86,0.0,,
Galina Voskoboeva,2011,52.07,68.33,49.58,44.36,38.75,56.97,50.53,,
Gisela Dulko,2011,57.19,65.55,43.89,55.2,38.56,56.17,49.54,,
Greta Arn,2011,58.14,60.7,42.09,53.7,36.83,51.53,45.11,,
Heather Watson,2011,65.71,63.17,45.56,53.46,37.17,55.09,45.43,,
Hilary Barte,2011,75.76,62.0,56.25,25.0,14.63,48.0,25.0,,
Hilda Melander,2011,58.49,48.39,36.36,40.0,28.12,56.52,66.67,,
Irina Camelia Begu,2011,59.49,61.91,44.44,48.54,38.02,56.78,43.57,,
Irina Falconi,2011,61.24,54.66,40.9,44.6,34.91,52.26,43.14,,
Jamie Hampton,2011,52.28,58.74,40.81,40.46,33.72,48.85,45.07,,
Jana Cepelova,2011,86.36,50.88,11.11,53.85,32.43,60.0,25.0,,
Jelena Dokic,2011,56.54,65.5,41.2,55.81,34.1,55.38,46.57,,
Jelena Jankovic,2011,63.89,66.85,47.83,44.96,42.28,58.88,48.44,,
Jie Zheng,2011,73.48,57.03,40.04,48.01,36.2,52.91,46.05,,
Jill Craybas,2011,62.73,56.24,40.41,52.8,32.04,50.03,34.17,,
Jing Jing Lu,2011,59.24,44.1,30.56,43.27,37.08,38.64,10.0,,
Johanna Konta,2011,64.95,57.14,52.94,45.45,36.07,52.94,41.67,,
Johanna Larsson,2011,61.41,59.42,44.93,49.2,39.63,49.84,48.67,,
Julia Boserup,2011,66.67,58.82,41.18,37.5,37.74,48.0,10.0,,
Julia Goerges,2011,58.45,70.36,49.06,50.77,35.67,56.31,48.76,,
Julie Coin,2011,53.84,75.96,51.7,56.82,18.04,49.26,68.18,,
Julie Ditty,2011,70.59,55.56,13.33,50.0,23.08,33.33,50.0,,
Junri Namigata,2011,60.98,54.67,29.13,42.5,27.72,52.05,34.82,,
Justine Henin,2011,54.36,72.44,51.91,63.33,40.26,56.87,48.15,,
Kai Chen Chang,2011,63.32,61.59,39.85,49.4,33.93,52.09,42.47,,
Kaia Kanepi,2011,57.07,67.94,44.29,58.61,38.14,54.06,44.09,,
Kamilla Farhad,2011,64.09,39.64,31.54,41.66,14.64,30.68,16.66,,
Karin Knapp,2011,59.11,60.2,39.82,51.32,38.23,49.81,49.66,,
Karolina Pliskova,2011,60.36,63.36,33.25,48.52,28.41,41.21,33.33,,
Karolina Sprem,2011,54.08,67.92,31.11,66.67,36.51,63.16,45.45,,
Katalin Marosi,2011,64.15,70.59,36.84,50.0,27.27,53.57,9.09,,
Kate Makarova,2011,60.52,64.05,43.19,44.73,33.5,48.77,45.74,,
Kateryna Bondarenko,2011,64.8,62.45,43.25,53.43,39.1,58.72,60.88,,
Kathrin Woerle,2011,57.66,51.52,41.43,50.42,32.15,50.35,47.17,,
Katie Obrien,2011,62.9,46.15,30.43,41.67,32.5,62.5,60.0,,
Kiki Bertens,2011,53.73,61.11,32.26,50.0,38.78,47.06,42.86,,
Kim Clijsters,2011,64.03,67.59,46.15,53.9,42.44,62.49,52.03,,
Kimiko Date Krumm,2011,63.29,56.54,42.0,46.06,36.1,51.96,41.39,,
Kirsten Flipkens,2011,57.27,63.24,43.72,57.82,34.53,55.38,42.56,,
Kristina Barrois,2011,63.98,62.73,45.32,56.94,32.8,51.68,40.21,,
Kristina Kucova,2011,62.32,52.27,40.98,45.83,35.28,53.24,36.86,,
Kristina Mladenovic,2011,48.94,54.35,52.08,56.25,39.73,65.52,41.18,,
Kristyna Pliskova,2011,57.88,61.01,39.81,55.0,29.5,52.72,42.35,,
Ksenia Palkina,2011,54.0,59.26,30.43,16.67,12.0,42.86,50.0,,
Ksenia Pervak,2011,65.03,59.6,45.64,41.14,39.76,55.35,47.44,,
Kurumi Nara,2011,67.25,51.35,33.37,46.25,30.88,50.33,53.81,,
Laura Pous Tio,2011,67.4,55.13,47.82,54.82,41.48,54.05,51.17,,
Laura Robson,2011,54.83,65.78,40.91,41.94,31.56,58.59,43.51,,
Lauren Davis,2011,49.54,55.15,40.36,46.29,18.73,33.93,11.11,,
Lenka Jurikova,2011,65.79,32.0,30.77,40.0,43.9,38.1,9.09,,
Lesia Tsurenko,2011,66.06,57.76,37.42,46.98,35.31,57.43,48.66,,
Lucie Hradecka,2011,52.25,71.64,44.38,55.55,32.98,54.09,47.7,,
Lucie Safarova,2011,60.03,71.19,49.21,57.22,31.78,52.69,47.13,,
Madalina Gojnea,2011,65.86,52.11,44.28,51.49,40.1,45.92,66.19,,
Madison Brengle,2011,63.89,56.28,44.73,38.88,30.56,45.79,20.0,,
Madison Keys,2011,55.41,67.23,46.86,60.54,40.51,50.02,44.78,,
Magali De Lattre,2011,64.58,38.71,41.18,40.0,29.63,45.45,50.0,,
Magdalena Rybarikova,2011,53.14,69.6,48.34,54.86,36.99,50.99,40.92,,
Malou Ejdesgaard,2011,51.85,60.71,34.62,37.5,26.09,30.0,100.0,,
Mandy Minella,2011,56.2,63.31,39.84,58.67,29.94,51.11,52.66,,
Maria Elena Camerin,2011,57.05,54.34,32.21,39.33,36.6,58.88,42.86,,
Maria Joao Koehler,2011,44.0,66.67,45.24,54.55,28.57,58.54,30.0,,
Maria Jose Martinez Sanchez,2011,54.66,65.98,44.95,50.49,38.44,52.01,45.88,,
Maria Kirilenko,2011,69.07,62.74,49.78,45.81,40.27,58.8,51.83,,
Maria Sharapova,2011,66.71,66.08,41.89,49.21,43.28,60.78,58.65,,
Maria Teresa Torro Flor,2011,64.68,47.37,24.04,37.5,32.96,45.69,20.0,,
Mariana Duque Marino,2011,64.62,64.29,17.39,25.0,31.11,52.17,100.0,,
Marie Eve Pelletier,2011,50.97,55.42,49.62,25.0,23.9,31.94,12.5,,
Marina Erakovic,2011,63.85,65.51,44.38,59.15,34.68,55.86,39.26,,
Marion Bartoli,2011,59.0,68.78,47.31,52.95,43.11,59.28,53.08,,
Mariya Koryttseva,2011,66.42,57.0,28.51,43.33,38.45,66.89,67.51,,
Masa Zec Peskiric,2011,47.46,53.57,35.48,40.0,28.57,45.45,66.67,,
Mathilde Johansson,2011,58.85,61.53,41.07,48.48,39.93,56.99,51.73,,
Melanie Klaffner,2011,51.22,38.1,20.0,33.33,29.03,54.55,100.0,,
Melanie Oudin,2011,68.08,53.22,34.45,45.38,32.0,53.23,50.13,,
Melanie South,2011,57.69,60.0,36.36,42.86,22.58,44.0,25.0,,
Melinda Czink,2011,61.77,61.74,47.41,43.62,36.12,48.41,45.33,,
Michaella Krajicek,2011,52.7,76.36,48.51,39.01,29.49,49.8,33.43,,
Misaki Doi,2011,62.41,60.0,40.68,49.6,33.83,55.81,40.7,,
Mona Barthel,2011,61.83,63.6,38.03,50.5,37.19,52.33,45.79,,
Monica Niculescu,2011,74.89,55.33,46.13,44.17,43.66,56.69,60.88,,
Monica Puig,2011,59.84,64.47,41.18,53.85,40.0,60.61,50.0,,
Na Li,2011,69.05,64.65,47.55,52.67,38.01,57.83,51.73,,
Nadia Lalami,2011,52.21,57.26,40.59,50.81,30.69,49.81,31.52,,
Nadia Petrova,2011,58.49,66.62,48.05,51.84,34.87,54.33,50.9,,
Naomi Broady,2011,53.99,75.31,48.37,69.05,25.74,46.65,15.76,,
Nastja Kolar,2011,62.8,72.66,43.89,29.16,41.81,71.8,41.66,,
Natalie Grandin,2011,71.28,47.76,59.26,53.33,51.43,48.78,53.33,,
Nicha Lertpitaksinchai,2011,64.52,50.0,27.27,25.0,37.5,43.48,100.0,,
Nicole Rottmann,2011,54.35,44.0,38.1,33.33,30.0,53.85,37.5,,
Nigina Abduraimova,2011,54.66,57.46,44.8,54.87,33.17,42.02,36.54,,
Nikola Hofmanova,2011,56.99,62.26,35.0,50.0,46.97,44.0,41.67,,
Nina Bratchikova,2011,61.64,65.04,45.56,45.43,34.48,45.13,37.68,,
Nina Khrisanova,2011,57.5,47.83,11.76,33.33,18.18,36.36,0.0,,0.0
Noppawan Lertcheewakarn,2011,62.22,51.15,40.41,54.83,38.51,57.01,37.53,,
Nudnida Luangnam,2011,66.67,37.5,8.33,14.29,20.0,58.33,50.0,,
Nungnadda Wannasuk,2011,62.32,57.04,38.8,39.61,40.37,57.28,64.78,,
Nuria Llagostera Vives,2011,49.79,61.02,42.03,42.47,34.9,57.5,40.8,,
Olga Govortsova,2011,60.13,60.19,40.68,39.56,33.8,50.75,42.29,,
Olga Savchuk,2011,59.96,59.51,38.18,43.65,35.0,46.99,56.67,,
Olivia Rogowska,2011,68.15,42.5,44.23,49.65,25.28,59.69,33.33,,
Olivia Sanchez,2011,44.84,68.64,31.1,58.34,25.26,46.86,15.62,,
Patty Schnyder,2011,61.5,55.25,44.56,47.4,29.68,49.94,46.73,,
Paula Ormaechea,2011,64.95,57.14,47.06,68.75,34.15,55.32,41.67,,
Pauline Parmentier,2011,58.07,64.38,43.82,50.55,33.73,54.91,44.36,,
Petra Cetkovska,2011,60.33,64.23,47.37,47.52,40.51,55.46,56.09,,
Petra Kvitova,2011,61.75,69.58,52.2,56.95,39.69,55.31,48.63,,
Petra Martic,2011,56.2,64.45,47.12,50.83,36.2,50.93,38.71,,
Petra Rampre,2011,32.08,47.06,41.67,37.5,22.22,41.67,0.0,,0.0
Polona Hercog,2011,65.14,62.03,48.77,51.83,36.02,50.51,43.17,,
Rebecca Marino,2011,55.95,67.46,47.18,56.75,28.23,46.57,43.19,,
Regina Kulikova,2011,63.84,54.83,41.79,57.84,37.41,54.06,64.26,,
Reka Luca Jani,2011,61.64,63.46,39.78,41.88,37.74,50.0,45.84,,
Renata Voracova,2011,62.27,51.42,43.24,40.6,36.12,51.75,52.66,,
Rika Fujiwara,2011,56.73,48.99,40.54,40.41,33.51,44.2,28.22,,
Roberta Vinci,2011,57.39,65.18,47.85,53.63,37.81,55.76,48.95,,
Romina Oprandi,2011,63.17,56.99,42.46,43.26,38.34,54.61,49.16,,
Ryoko Fuda,2011,70.37,57.89,37.5,50.0,34.69,47.37,10.0,,
Sabina Sharipova,2011,54.99,58.34,47.76,60.72,44.44,46.43,77.78,,
Sabine Lisicki,2011,54.15,74.34,49.16,60.79,40.2,57.85,50.29,,
Sacha Jones,2011,55.0,66.67,22.22,37.5,36.84,44.83,22.22,,
Saisai Zheng,2011,57.05,46.21,38.1,48.57,25.14,54.28,17.69,,
Sally Peers,2011,63.68,58.01,37.58,40.28,32.2,46.13,46.97,,
Samantha Murray,2011,55.17,45.83,46.15,64.71,30.77,56.25,100.0,,
Samantha Stosur,2011,63.49,71.22,53.26,57.88,35.45,53.97,48.78,,
Sandra Zahlavova,2011,58.0,57.71,47.17,47.17,32.5,55.39,38.9,,
Sania Mirza,2011,56.68,59.56,38.69,49.76,40.09,55.81,52.17,,
Sara Errani,2011,76.23,57.69,47.2,50.01,39.43,59.13,47.71,,
Sarah Gronert,2011,56.72,73.68,38.0,64.59,30.3,40.44,50.0,,
Serena Williams,2011,58.95,79.49,52.96,61.83,37.51,59.18,50.83,,
Sesil Karatantcheva,2011,63.33,50.0,40.91,0.0,33.33,56.67,50.0,,
